name,shortName,id,deduction,ongoing,played,wins,draws,losses,scoresStr,goalConDiff,pts,idx,qualColor,logo,league_id
Aston Villa U19,Aston Villa U19,394201,,,6,3,0,3,14-11,3,9,15,#2AD572,https://images.fotmob.com/image_resources/logo/teamlogo/394201_large.png,9741
Sturm Graz U19,Sturm Graz U19,1677332,,,6,2,3,1,10-8,2,9,16,#2AD572,https://images.fotmob.com/image_resources/logo/teamlogo/1677332_large.png,9741
Celtic U19,Celtic U19,394212,,,6,3,0,3,10-10,0,9,17,#2AD572,https://images.fotmob.com/image_resources/logo/teamlogo/394212_large.png,9741
Dinamo Zagreb U19,Dinamo Zagreb U19,672227,,,6,2,2,2,8-8,0,8,18,#2AD572,https://images.fotmob.com/image_resources/logo/teamlogo/672227_large.png,9741
Borussia Dortmund U19,Borussia Dortmund U19,394130,,,6,2,2,2,11-8,3,8,19,#2AD572,https://images.fotmob.com/image_resources/logo/teamlogo/394130_large.png,9741
Liverpool U19,Liverpool U19,394197,,,6,2,2,2,9-8,1,8,20,#2AD572,https://images.fotmob.com/image_resources/logo/teamlogo/394197_large.png,9741
Lille U19,Lille U19,585026,,,6,1,5,0,8-7,1,8,21,#2AD572,https://images.fotmob.com/image_resources/logo/teamlogo/585026_large.png,9741
Monaco U19,Monaco U19,585094,,,6,2,2,2,6-7,-1,8,22,#2AD572,https://images.fotmob.com/image_resources/logo/teamlogo/585094_large.png,9741
Paris Saint Germain U19,Paris Saint Germain U19,394203,,,6,2,1,3,14-13,1,7,23,,https://images.fotmob.com/image_resources/logo/teamlogo/394203_large.png,9741
Bayer Leverkusen U19,Bayer Leverkusen U19,592671,,,6,2,1,3,7-9,-2,7,24,,https://images.fotmob.com/image_resources/logo/teamlogo/592671_large.png,9741
PSV Eindhoven U19,PSV Eindhoven U19,394208,,,6,1,3,2,8-9,-1,6,25,,https://images.fotmob.com/image_resources/logo/teamlogo/394208_large.png,9741
Arsenal U19,Arsenal U19,394196,,,6,2,0,4,5-12,-7,6,26,,https://images.fotmob.com/image_resources/logo/teamlogo/394196_large.png,9741
FK Crvena Zvezda U19,FK Crvena Zvezda U19,590137,,,6,1,2,3,7-11,-4,5,27,,https://images.fotmob.com/image_resources/logo/teamlogo/590137_large.png,9741
AC Milan U19,AC Milan U19,1291621,,,6,1,2,3,7-11,-4,5,28,,https://images.fotmob.com/image_resources/logo/teamlogo/1291621_large.png,9741
Feyenoord U19,Feyenoord U19,889586,,,6,1,1,4,7-14,-7,4,29,,https://images.fotmob.com/image_resources/logo/teamlogo/889586_large.png,9741
Young Boys U19,Young Boys U19,959033,,,6,1,0,5,11-17,-6,3,30,,https://images.fotmob.com/image_resources/logo/teamlogo/959033_large.png,9741
Club Brugge U19,Club Brugge U19,681685,,,6,0,3,3,5-11,-6,3,31,,https://images.fotmob.com/image_resources/logo/teamlogo/681685_large.png,9741
RB Leipzig U19,RB Leipzig U19,667906,,,6,1,0,5,10-18,-8,3,32,,https://images.fotmob.com/image_resources/logo/teamlogo/667906_large.png,9741
Bologna U19,Bologna U19,1398793,,,6,0,2,4,7-14,-7,2,33,,https://images.fotmob.com/image_resources/logo/teamlogo/1398793_large.png,9741
Brest U19,Brest U19,585065,,,6,0,2,4,5-16,-11,2,34,,https://images.fotmob.com/image_resources/logo/teamlogo/585065_large.png,9741
Slovan Bratislava U19,Slovan Bratislava U19,559151,,,6,0,2,4,6-20,-14,2,35,,https://images.fotmob.com/image_resources/logo/teamlogo/559151_large.png,9741
Sparta Prague U19,Sparta Prague U19,437816,,,6,0,1,5,4-15,-11,1,36,,https://images.fotmob.com/image_resources/logo/teamlogo/437816_large.png,9741
Argentina,Argentina,6706,,,12,8,1,3,21-7,14,25,1,#2AD572,https://images.fotmob.com/image_resources/logo/teamlogo/6706_large.png,10199
Uruguay,Uruguay,5796,,,12,5,5,2,17-9,8,20,2,#2AD572,https://images.fotmob.com/image_resources/logo/teamlogo/5796_large.png,10199
Ecuador,Ecuador,6707,-3.0,,12,6,4,2,11-4,7,19,3,#2AD572,https://images.fotmob.com/image_resources/logo/teamlogo/6707_large.png,10199
Colombia,Colombia,8258,,,12,5,4,3,15-10,5,19,4,#2AD572,https://images.fotmob.com/image_resources/logo/teamlogo/8258_large.png,10199
Brazil,Brazil,8256,,,12,5,3,4,17-11,6,18,5,#2AD572,https://images.fotmob.com/image_resources/logo/teamlogo/8256_large.png,10199
Paraguay,Paraguay,6724,,,12,4,5,3,8-7,1,17,6,#2AD572,https://images.fotmob.com/image_resources/logo/teamlogo/6724_large.png,10199
Bolivia,Bolivia,5797,,,12,4,1,7,13-27,-14,13,7,#FFD908,https://images.fotmob.com/image_resources/logo/teamlogo/5797_large.png,10199
Venezuela,Venezuela,5800,,,12,2,6,4,11-15,-4,12,8,,https://images.fotmob.com/image_resources/logo/teamlogo/5800_large.png,10199
Chile,Chile,9762,,,12,2,3,7,9-20,-11,9,9,,https://images.fotmob.com/image_resources/logo/teamlogo/9762_large.png,10199
Peru,Peru,5798,,,12,1,4,7,3-15,-12,7,10,,https://images.fotmob.com/image_resources/logo/teamlogo/5798_large.png,10199
